time,latitude,longitude,depth,mag
2020-10-17T17:21:09.947Z,54.0404,86.1075,10,4.7
2020-10-17T17:20:52.810Z,36.715,-116.2662,9.4,0.4
2020-10-17T17:17:29.980Z,34.1611667,-116.452,2.75,0.87
2020-10-17T17:14:49.410Z,19.20999908,-155.4593353,36.79000092,2.26999998
2020-10-17T17:03:54.460Z,33.5396667,-116.4613333,8.66,0.63
2020-10-17T16:55:01.080Z,63.254,-151.5232,8,1.4
2020-10-17T16:43:44.530Z,36.0723333,-117.8886667,5.6,0.89
2020-10-17T16:42:04.010Z,32.8988333,-115.88,8.86,1.29
2020-10-17T16:27:08.870Z,33.948,-116.3886667,1.99,1.26
2020-10-17T16:21:30.490Z,18.0236,-66.7951,17,2.43
2020-10-17T16:05:37.220Z,32.753,-115.8158333,7.91,1.19
2020-10-17T15:54:02.880Z,35.6676667,-117.4743333,6.02,1.59
2020-10-17T15:38:01.177Z,60.186,-152.8277,97.2,0.4
2020-10-17T15:36:23.060Z,36.8596649,-121.5934982,5.92,1.85
2020-10-17T15:35:08.170Z,59.7596,-152.2287,67.3,1.4
2020-10-17T15:28:18.380Z,32.8371667,-116.0958333,12.34,1.83
2020-10-17T15:27:31.560Z,33.5968333,-116.8075,5.38,0.87
2020-10-17T15:27:13.340Z,33.6001667,-116.8096667,5.99,0.8
2020-10-17T15:19:28.580Z,34.3986667,-118.7803333,9.46,1.27
2020-10-17T15:15:59.710Z,32.9253333,-116.2631667,5.48,0.79
2020-10-17T15:12:05.920Z,38.1228,-118.0503,11.5,1.5
2020-10-17T15:06:29.740Z,19.50683403,-155.6560059,-3.5,1.86000001
2020-10-17T15:03:13.076Z,23.2621,120.3029,10,4.4
2020-10-17T14:58:16.090Z,4.5963,125.8196,173.63,4.6
2020-10-17T14:28:28.690Z,44.0076667,-114.4215,7.82,2.5
2020-10-17T14:24:48.170Z,31.8941667,-115.8201667,9.43,2.48
2020-10-17T14:19:37.018Z,-31.357,-177.6871,10,4.8
2020-10-17T14:18:20.760Z,17.9586,-66.7373,15,2.63
2020-10-17T14:16:25.204Z,61.9332,-150.4754,58.2,1.4
2020-10-17T14:07:13.780Z,33.229,-116.0136667,7.97,0.89
2020-10-17T13:56:13.097Z,62.897,-150.5383,83.9,1.5
2020-10-17T13:45:32.060Z,36.0838333,-117.8531667,3.24,0.98
2020-10-17T13:45:17.720Z,38.1692,-117.9045,6,1.3
2020-10-17T13:45:08.840Z,40.1985,-121.0483333,3,1.43
2020-10-17T13:34:34.160Z,33.2895,-116.3191667,10.79,0.8
2020-10-17T13:25:55.631Z,38.1491,-117.9448,12,2.5
2020-10-17T13:25:25.750Z,38.8348351,-122.8176651,1.34,0.56
2020-10-17T13:19:47.280Z,38.8165016,-122.7911682,3.51,0.55
2020-10-17T13:18:23.750Z,33.467,-116.5681667,10.61,0.76
2020-10-17T13:18:16.450Z,38.1493,-117.835,27.7,0.8
2020-10-17T13:07:54.990Z,35.8085,-117.6238333,5.6,0.6
2020-10-17T13:05:24.820Z,19.18950081,-155.4638367,30.56999969,1.98000002
2020-10-17T13:03:26.610Z,32.8625,-116.1813333,7.41,1.27
2020-10-17T12:54:11.980Z,38.776165,-122.4420013,8.25,1.69
2020-10-17T12:44:41.750Z,38.8033333,-122.7841644,0.32,0.56
2020-10-17T12:43:48.227Z,62.1586,-149.6858,10.4,1.8
2020-10-17T12:38:14.940Z,38.1852,-117.8907,4.5,1.1
2020-10-17T12:22:45.332Z,63.1484,-151.3486,4,0.7
2020-10-17T12:11:16.020Z,38.786499,-122.7343369,1.96,0.55
2020-10-17T11:49:46.220Z,38.2282,-117.822,0.7,0.9
2020-10-17T11:45:15.370Z,38.8051682,-122.7854996,0.05,0.55
2020-10-17T11:42:18.710Z,18.2163,-67.2411,24,3.04
2020-10-17T11:39:31.950Z,38.1653,-117.876,6.7,1.3
2020-10-17T11:34:00.130Z,35.6838333,-117.6156667,6.37,0.95
2020-10-17T11:31:08.760Z,19.43916702,-155.610672,-1.840000033,1.79
2020-10-17T11:31:06.700Z,36.6196671,-121.2825012,5.72,1.43
2020-10-17T11:26:06.580Z,44.5396667,-114.3573333,3.53,1.75
2020-10-17T11:21:57.480Z,38.8364983,-122.8203354,1.86,0.57
2020-10-17T11:15:45.200Z,36.6448326,-121.2651672,6.29,2.58
2020-10-17T11:13:15.585Z,63.2633,-151.7731,11.1,1.6
2020-10-17T11:05:29.090Z,48.32766667,-122.6076667,22.14,1.45
2020-10-17T11:03:46.130Z,61.4431,-150.1103,35.9,1.4
2020-10-17T10:58:03.890Z,33.3773333,-116.2648333,7.17,0.63
2020-10-17T10:55:57.590Z,38.7998352,-122.8164978,2.82,0.76
2020-10-17T10:55:35.070Z,37.5166667,-118.7916667,2.88,2.25
2020-10-17T10:51:55.721Z,66.2463,-157.1975,0,2.5
